date,price,open,high,low,vol.,change %,vol,perc_chg
04-01-2024,914.90,907.56,915.11,907.54,,0.73%,,
05-01-2024,919.25,913.81,919.25,911.75,,0.48%,,
08-01-2024,923.19,916.96,923.19,916.96,,0.43%,,
09-01-2024,920.98,922.77,923.30,920.98,,-0.24%,,
10-01-2024,922.87,921.19,922.87,918.60,,0.21%,,
11-01-2024,922.31,920.15,922.31,918.66,,-0.06%,,
12-01-2024,918.29,919.91,919.91,916.14,,-0.44%,,
15-01-2024,918.21,918.67,921.09,916.53,,-0.01%,,
16-01-2024,921.10,916.92,921.57,916.01,,0.31%,,
17-01-2024,918.31,923.55,925.11,918.31,,-0.30%,,
18-01-2024,920.48,921.63,924.34,919.80,,0.24%,,
19-01-2024,923.58,922.45,925.67,922.12,,0.34%,,
22-01-2024,926.59,925.37,930.76,924.13,,0.33%,,
23-01-2024,924.16,927.45,928.87,922.04,,-0.26%,,
24-01-2024,925.78,924.57,927.89,923.48,,0.18%,,
25-01-2024,920.36,925.24,925.87,920.36,,-0.59%,,
26-01-2024,920.75,921.25,922.77,919.42,,0.04%,,
29-01-2024,916.38,920.06,921.04,915.25,,-0.47%,,
30-01-2024,921.43,917.85,923.84,917.85,,0.55%,,
31-01-2024,917.51,921.13,921.96,912.84,,-0.43%,,
01-02-2024,918.70,914.03,921.23,913.64,,0.13%,,
02-02-2024,916.23,919.96,923.01,916.23,,-0.27%,,
05-02-2024,912.09,915.19,919.62,912.09,,-0.45%,,
06-02-2024,915.78,912.81,916.26,912.69,,0.40%,,
07-02-2024,916.97,916.53,918.15,915.71,,0.13%,,
08-02-2024,914.08,917.21,917.96,912.17,,-0.32%,,
09-02-2024,915.95,914.41,916.20,912.04,,0.20%,,
12-02-2024,913.96,916.00,916.56,913.33,,-0.22%,,
13-02-2024,910.89,913.90,915.30,909.83,,-0.34%,,
14-02-2024,915.41,910.25,915.41,910.20,,0.50%,,
15-02-2024,918.68,912.46,918.89,912.46,,0.36%,,
16-02-2024,921.33,917.38,921.54,916.61,,0.29%,,
19-02-2024,926.52,920.95,929.33,920.95,,0.56%,,
20-02-2024,926.76,925.18,929.73,925.18,,0.03%,,
21-02-2024,927.88,926.06,929.16,924.01,,0.12%,,
