date,price,open,high,low,vol.,change %,vol,perc_chg
18-05-2021,"1,773.52","1,742.77","1,774.89","1,742.69",,1.92%,,
19-05-2021,"1,771.48","1,777.71","1,778.39","1,771.48",,-0.12%,,
20-05-2021,"1,772.13","1,772.94","1,775.67","1,764.79",,0.04%,,
21-05-2021,"1,785.66","1,784.80","1,796.53","1,776.56",,0.76%,,
24-05-2021,"1,768.86","1,775.91","1,776.14","1,761.84",,-0.94%,,
25-05-2021,"1,795.88","1,766.78","1,798.04","1,765.76",,1.53%,,
26-05-2021,"1,812.16","1,801.45","1,814.16","1,800.51",,0.91%,,
27-05-2021,"1,805.35","1,812.99","1,813.27","1,795.30",,-0.38%,,
28-05-2021,"1,815.42","1,805.11","1,823.41","1,805.11",,0.56%,,
31-05-2021,"1,842.45","1,817.97","1,843.08","1,815.33",,1.49%,,
01-06-2021,"1,859.55","1,842.24","1,862.63","1,840.89",,0.93%,,
02-06-2021,"1,855.43","1,869.11","1,871.57","1,851.26",,-0.22%,,
03-06-2021,"1,845.54","1,852.36","1,862.55","1,841.58",,-0.53%,,
04-06-2021,"1,832.99","1,838.49","1,838.49","1,821.72",,-0.68%,,
07-06-2021,"1,828.01","1,837.86","1,840.15","1,819.62",,-0.27%,,
08-06-2021,"1,821.62","1,827.68","1,833.97","1,817.90",,-0.35%,,
09-06-2021,"1,810.92","1,820.10","1,820.10","1,808.35",,-0.59%,,
10-06-2021,"1,819.21","1,808.42","1,825.40","1,808.42",,0.46%,,
11-06-2021,"1,826.21","1,821.27","1,832.08","1,821.27",,0.38%,,
14-06-2021,"1,824.42","1,824.51","1,826.03","1,823.80",,-0.10%,,
15-06-2021,"1,828.81","1,826.86","1,839.19","1,820.37",,0.24%,,
16-06-2021,"1,817.10","1,828.31","1,829.18","1,816.20",,-0.64%,,
17-06-2021,"1,808.23","1,808.35","1,810.63","1,798.95",,-0.49%,,
18-06-2021,"1,820.93","1,812.60","1,821.82","1,810.30",,0.70%,,
21-06-2021,"1,794.25","1,816.85","1,816.85","1,783.40",,-1.47%,,
22-06-2021,"1,779.15","1,794.72","1,797.85","1,778.31",,-0.84%,,
23-06-2021,"1,804.50","1,777.76","1,805.30","1,777.76",,1.42%,,
24-06-2021,"1,812.95","1,807.85","1,816.72","1,804.68",,0.47%,,
25-06-2021,"1,837.81","1,817.74","1,838.26","1,816.36",,1.37%,,
28-06-2021,"1,838.31","1,839.10","1,845.86","1,834.12",,0.03%,,
29-06-2021,"1,831.90","1,842.37","1,845.58","1,829.38",,-0.35%,,
30-06-2021,"1,837.72","1,837.06","1,848.45","1,837.06",,0.32%,,
01-07-2021,"1,831.87","1,837.96","1,837.96","1,831.72",,-0.32%,,
02-07-2021,"1,802.44","1,826.94","1,828.33","1,798.28",,-1.61%,,
05-07-2021,"1,791.28","1,803.04","1,806.84","1,786.88",,-0.62%,,
06-07-2021,"1,795.30","1,790.60","1,798.22","1,785.84",,0.22%,,
07-07-2021,"1,779.99","1,789.01","1,789.27","1,768.96",,-0.85%,,
08-07-2021,"1,735.37","1,774.44","1,775.98","1,733.72",,-2.51%,,
09-07-2021,"1,734.56","1,732.17","1,737.77","1,706.57",,-0.05%,,
12-07-2021,"1,747.82","1,740.80","1,761.04","1,740.41",,0.76%,,
13-07-2021,"1,779.54","1,751.36","1,785.49","1,750.40",,1.81%,,
14-07-2021,"1,780.18","1,779.44","1,785.08","1,774.94",,0.04%,,
15-07-2021,"1,795.19","1,780.61","1,799.96","1,778.18",,0.84%,,
16-07-2021,"1,785.08","1,797.19","1,797.19","1,777.94",,-0.56%,,
19-07-2021,"1,745.19","1,779.65","1,779.65","1,745.06",,-2.23%,,
20-07-2021,"1,737.86","1,742.68","1,748.36","1,730.12",,-0.42%,,
21-07-2021,"1,732.15","1,739.53","1,741.63","1,724.91",,-0.33%,,
22-07-2021,"1,762.27","1,739.73","1,762.57","1,739.73",,1.74%,,
23-07-2021,"1,745.09","1,761.51","1,764.22","1,741.16",,-0.97%,,
26-07-2021,"1,677.92","1,732.67","1,733.19","1,677.33",,-3.85%,,
27-07-2021,"1,619.53","1,668.51","1,672.67","1,608.34",,-3.48%,,
28-07-2021,"1,625.11","1,613.42","1,627.52","1,591.16",,0.34%,,
29-07-2021,"1,684.85","1,638.53","1,685.31","1,637.83",,3.68%,,
30-07-2021,"1,661.24","1,687.18","1,687.19","1,651.09",,-1.40%,,
02-08-2021,"1,678.26","1,662.57","1,678.43","1,648.96",,1.02%,,
03-08-2021,"1,680.78","1,679.67","1,688.16","1,654.99",,0.15%,,
04-08-2021,"1,692.97","1,676.56","1,702.12","1,667.35",,0.73%,,
05-08-2021,"1,684.95","1,693.95","1,701.53","1,681.21",,-0.47%,,
06-08-2021,"1,683.25","1,684.17","1,687.55","1,676.57",,-0.10%,,
09-08-2021,"1,682.17","1,678.99","1,690.48","1,662.03",,-0.06%,,
10-08-2021,"1,699.16","1,687.87","1,701.37","1,681.27",,1.01%,,
11-08-2021,"1,688.44","1,696.75","1,697.31","1,684.64",,-0.63%,,
12-08-2021,"1,676.27","1,690.21","1,690.70","1,670.19",,-0.72%,,
13-08-2021,"1,657.72","1,673.43","1,673.43","1,646.77",,-1.11%,,
