date,price,open,high,low,vol.,change %,vol,perc_chg
2016-09-02,"1,734.60","1,723.20","1,737.41","1,722.47",,0.64%,,
2016-09-05,"1,737.39","1,736.41","1,739.91","1,736.25",,0.16%,,
2016-09-06,"1,745.89","1,737.51","1,746.80","1,737.33",,0.49%,,
2016-09-07,"1,747.47","1,746.18","1,749.10","1,743.27",,0.09%,,
2016-09-08,"1,744.44","1,746.48","1,750.06","1,740.49",,-0.17%,,
2016-09-09,"1,707.94","1,742.61","1,743.60","1,707.94",,-2.09%,,
2016-09-12,"1,715.76","1,706.53","1,719.11","1,693.31",,0.46%,,
2016-09-13,"1,694.83","1,718.15","1,718.51","1,690.05",,-1.22%,,
2016-09-14,"1,692.53","1,692.66","1,702.54","1,690.47",,-0.14%,,
2016-09-15,"1,704.84","1,692.29","1,707.96","1,688.81",,0.73%,,
2016-09-16,"1,696.31","1,706.43","1,707.53","1,691.63",,-0.50%,,
2016-09-19,"1,703.08","1,695.63","1,710.16","1,695.51",,0.40%,,
2016-09-20,"1,703.23","1,701.55","1,710.61","1,701.54",,0.01%,,
2016-09-21,"1,721.69","1,703.52","1,725.74","1,702.19",,1.08%,,
2016-09-22,"1,740.55","1,725.15","1,743.39","1,725.15",,1.10%,,
2016-09-23,"1,729.70","1,738.98","1,739.01","1,729.26",,-0.62%,,
2016-09-26,"1,714.85","1,729.89","1,730.34","1,714.16",,-0.86%,,
2016-09-27,"1,719.88","1,714.26","1,722.01","1,708.94",,0.29%,,
2016-09-28,"1,725.63","1,721.00","1,728.06","1,715.04",,0.33%,,
2016-09-29,"1,719.77","1,727.68","1,733.23","1,716.81",,-0.34%,,
2016-09-30,"1,725.67","1,719.94","1,729.16","1,707.77",,0.34%,,
2016-10-03,"1,722.82","1,724.79","1,728.44","1,719.72",,-0.17%,,
2016-10-04,"1,717.82","1,722.97","1,727.05","1,714.73",,-0.29%,,
2016-10-05,"1,721.14","1,718.18","1,723.96","1,715.87",,0.19%,,
2016-10-06,"1,718.40","1,721.75","1,723.48","1,713.31",,-0.16%,,
2016-10-07,"1,712.40","1,717.75","1,720.05","1,705.94",,-0.35%,,
2016-10-10,"1,719.29","1,712.76","1,722.48","1,710.05",,0.40%,,
2016-10-11,"1,700.33","1,718.62","1,719.23","1,695.91",,-1.10%,,
2016-10-12,"1,695.54","1,700.55","1,701.32","1,693.13",,-0.28%,,
2016-10-13,"1,689.62","1,695.12","1,695.83","1,678.36",,-0.35%,,
2016-10-14,"1,693.71","1,690.68","1,704.20","1,689.32",,0.24%,,
2016-10-17,"1,687.84","1,692.64","1,693.77","1,687.84",,-0.35%,,
2016-10-18,"1,701.10","1,688.98","1,704.23","1,688.78",,0.79%,,
2016-10-19,"1,706.74","1,701.49","1,708.37","1,700.94",,0.33%,,
2016-10-20,"1,704.04","1,706.56","1,708.65","1,699.50",,-0.16%,,
2016-10-21,"1,701.16","1,704.08","1,704.22","1,695.13",,-0.17%,,
2016-10-24,"1,706.24","1,701.38","1,710.22","1,699.80",,0.30%,,
2016-10-25,"1,701.20","1,706.02","1,709.81","1,700.57",,-0.30%,,
2016-10-26,"1,699.92","1,703.13","1,703.73","1,694.92",,-0.08%,,
2016-10-27,"1,694.66","1,699.15","1,702.30","1,693.46",,-0.31%,,
2016-10-28,"1,690.96","1,693.50","1,698.62","1,690.46",,-0.22%,,
2016-10-31,"1,690.92","1,693.57","1,694.93","1,688.96",,0.00%,,
2016-11-01,"1,683.96","1,691.60","1,696.15","1,678.67",,-0.41%,,
2016-11-02,"1,672.83","1,685.22","1,685.25","1,671.01",,-0.66%,,
2016-11-03,"1,667.03","1,671.85","1,675.35","1,666.13",,-0.35%,,
2016-11-04,"1,660.12","1,667.63","1,667.63","1,658.17",,-0.41%,,
2016-11-07,"1,685.62","1,657.55","1,686.56","1,657.06",,1.54%,,
2016-11-08,"1,691.74","1,686.41","1,694.49","1,681.31",,0.36%,,
2016-11-09,"1,696.46","1,690.55","1,698.00","1,674.91",,0.28%,,
2016-11-10,"1,701.29","1,694.56","1,712.70","1,692.86",,0.28%,,
2016-11-11,"1,696.99","1,702.02","1,705.34","1,689.49",,-0.25%,,
2016-11-14,"1,692.31","1,696.15","1,699.00","1,688.80",,-0.28%,,
2016-11-15,"1,701.82","1,693.66","1,702.47","1,692.04",,0.56%,,
2016-11-16,"1,698.41","1,702.23","1,705.76","1,696.55",,-0.20%,,
2016-11-17,"1,706.98","1,700.24","1,706.98","1,698.86",,0.50%,,
2016-11-18,"1,697.35","1,703.61","1,705.21","1,696.94",,-0.56%,,
2016-11-21,"1,710.49","1,697.70","1,711.76","1,697.47",,0.77%,,
