date,price,open,high,low,vol.,change %,vol,perc_chg
2024-04-17,"2,237.99","2,243.96","2,251.52","2,233.86",,-0.25%,,
2024-04-18,"2,247.50","2,241.50","2,255.72","2,240.01",,0.42%,,
2024-04-19,"2,236.31","2,243.20","2,243.54","2,221.98",,-0.50%,,
2024-04-22,"2,251.60","2,237.84","2,254.40","2,237.84",,0.68%,,
2024-04-23,"2,279.12","2,256.34","2,281.32","2,253.96",,1.22%,,
2024-04-24,"2,282.78","2,281.76","2,293.54","2,280.86",,0.16%,,
2024-04-25,"2,265.90","2,281.25","2,282.56","2,253.16",,-0.74%,,
2024-04-26,"2,275.32","2,267.56","2,284.02","2,264.11",,0.42%,,
2024-04-29,"2,285.03","2,276.74","2,297.74","2,273.09",,0.43%,,
2024-04-30,"2,280.53","2,289.72","2,298.27","2,275.42",,-0.20%,,
2024-05-01,"2,271.28","2,271.31","2,281.54","2,266.46",,-0.41%,,
2024-05-02,"2,283.57","2,282.09","2,294.11","2,278.79",,0.54%,,
2024-05-03,"2,309.49","2,293.92","2,326.83","2,292.66",,1.14%,,
2024-05-06,"2,317.23","2,305.49","2,321.67","2,305.10",,0.34%,,
2024-05-07,"2,338.90","2,316.31","2,339.87","2,312.82",,0.94%,,
2024-05-08,"2,325.37","2,330.82","2,330.84","2,319.13",,-0.58%,,
2024-05-09,"2,332.01","2,327.35","2,334.23","2,317.14",,0.29%,,
2024-05-10,"2,346.16","2,336.64","2,351.96","2,334.66",,0.61%,,
2024-05-13,"2,351.95","2,347.09","2,352.74","2,343.83",,0.25%,,
2024-05-14,"2,357.07","2,350.30","2,357.68","2,341.44",,0.22%,,
2024-05-15,"2,377.00","2,357.64","2,384.08","2,357.64",,0.85%,,
2024-05-16,"2,381.58","2,389.35","2,393.56","2,378.24",,0.19%,,
2024-05-17,"2,381.35","2,379.08","2,382.37","2,368.62",,-0.01%,,
2024-05-20,"2,386.08","2,380.09","2,388.86","2,379.56",,0.20%,,
