date,price,open,high,low,change %,vol,perc_chg
2016-01-25,716.08,712.39,720.23,712.31,0.76%,,
2016-01-26,708.33,714.68,714.68,703.97,-1.08%,,
2016-01-27,715.98,709.84,717.62,709.84,1.08%,,
2016-01-28,722.23,714.25,724.89,712.59,0.87%,,
2016-01-29,742.37,722.43,742.37,720.89,2.79%,,
2016-02-01,742.74,742.38,744.17,739.29,0.05%,,
2016-02-02,728.71,742.41,742.41,726.97,-1.89%,,
2016-02-03,721.65,726.24,727.33,717.77,-0.97%,,
2016-02-04,739.55,727.19,744.36,727.19,2.48%,,
2016-02-05,739.61,741.04,745.45,738.33,0.01%,,
2016-02-08,734.13,738.03,739.77,732.1,-0.74%,,
2016-02-09,729.88,732.19,732.2,728.11,-0.58%,,
2016-02-10,730.58,729.84,733.62,728.93,0.10%,,
2016-02-11,713.04,731.09,731.09,711.73,-2.40%,,
2016-02-12,711.24,713,713.42,707.54,-0.25%,,
2016-02-15,726.86,713.51,726.86,712.24,2.20%,,
2016-02-16,731.4,726.28,733.92,726.28,0.62%,,
2016-02-17,735.78,730.58,737.96,726.69,0.60%,,
2016-02-18,746.24,736.97,747.22,736.97,1.42%,,
2016-02-19,740.98,744.64,744.64,739.19,-0.70%,,
2016-02-22,749.42,741.55,751.11,740.64,1.14%,,
2016-02-23,744.76,751.1,751.64,744.36,-0.62%,,
2016-02-24,736.53,744.47,744.81,732.69,-1.11%,,
2016-02-25,735.35,737.92,739.03,733.72,-0.16%,,
2016-02-26,740.02,736.41,743.96,736.22,0.64%,,
2016-02-29,740.33,738.2,740.82,733.86,0.04%,,
2016-03-01,752.92,738.96,755.61,738.96,1.70%,,
2016-03-02,769.1,756.11,770.2,756.11,2.15%,,
2016-03-03,780.19,770.42,781.54,770.42,1.44%,,
2016-03-04,790.97,781.42,794.24,780.58,1.38%,,
2016-03-07,795.18,792.96,796.97,792.16,0.53%,,
2016-03-08,788.09,795.92,795.92,787.39,-0.89%,,
2016-03-09,787.69,787.99,790.24,781.99,-0.05%,,
2016-03-10,790.74,789.13,794.86,787.62,0.39%,,
2016-03-11,800.91,791.03,803.2,790.6,1.29%,,
2016-03-14,803.45,803.12,808.65,802.58,0.32%,,
2016-03-15,790.68,803.29,803.66,788.71,-1.59%,,
2016-03-16,791.18,789.23,798.08,787.25,0.06%,,
2016-03-17,816.9,798.11,820.76,798.11,3.25%,,
2016-03-18,826.75,820.26,827.58,819.15,1.21%,,
2016-03-21,829.06,826.1,829.65,823.53,0.28%,,
2016-03-22,830.51,828.89,830.78,825.95,0.17%,,
2016-03-23,821.71,830.33,831.05,819.8,-1.06%,,
2016-03-24,813.61,820.04,820.04,811.29,-0.99%,,
2016-03-25,812.32,814.14,814.82,812.05,-0.16%,,
2016-03-28,813.04,812.88,814.5,811.4,0.09%,,
2016-03-29,814.83,814.53,819.27,812.12,0.22%,,
2016-03-30,833.98,819.14,836.62,819.14,2.35%,,
2016-03-31,836.8,834.66,838.53,831.46,0.34%,,
2016-04-01,826.19,835.49,835.64,821.68,-1.27%,,
2016-04-04,826.78,827.57,829.99,824.79,0.07%,,
2016-04-05,812.97,824.63,824.63,810.5,-1.67%,,
2016-04-06,809.03,811.87,812.99,807.09,-0.48%,,
2016-04-07,809.29,811.37,813.4,806.88,0.03%,,
2016-04-08,816.82,807.84,818.32,804.11,0.93%,,
2016-04-11,824.01,817.18,826.91,814.34,0.88%,,
2016-04-12,830.88,825.13,832.67,824.57,0.83%,,
2016-04-13,844.15,833.05,845.25,833.03,1.60%,,
2016-04-14,845.45,845.1,848.33,844.16,0.15%,,
2016-04-15,846.7,846.13,847.65,844.85,0.15%,,
2016-04-18,843.68,844.7,845.84,838.54,-0.36%,,
2016-04-19,852.73,844.88,855.47,844.41,1.07%,,
2016-04-20,849.45,854.54,855.38,845.62,-0.38%,,
2016-04-21,853.69,850.83,855.78,849.89,0.50%,,
