date,price,open,high,low,vol.,change %,vol,perc_chg
14-08-2018,468.46,469.94,470.97,467.47,,-0.40%,,
15-08-2018,462.64,468.18,468.18,461.12,,-1.24%,,
16-08-2018,460.21,461.83,463.04,457.01,,-0.53%,,
17-08-2018,462.69,460.73,464.41,460.5,,0.54%,,
20-08-2018,467.65,463.34,468.34,463.17,,1.07%,,
21-08-2018,472.21,468.12,472.81,467.98,,0.98%,,
22-08-2018,474.34,472.71,474.62,471.2,,0.45%,,
23-08-2018,473.72,474.56,475.81,472.67,,-0.13%,,
24-08-2018,473.07,473.19,473.83,470.27,,-0.14%,,
27-08-2018,480.78,473.89,481.34,473.7,,1.63%,,
28-08-2018,482.56,481.4,484.38,481.4,,0.37%,,
29-08-2018,483.64,483.0,484.13,482.31,,0.22%,,
30-08-2018,480.81,483.76,485.91,480.12,,-0.59%,,
31-08-2018,478.57,480.15,480.31,476.14,,-0.47%,,
03-09-2018,475.18,478.21,478.21,474.72,,-0.71%,,
04-09-2018,475.19,474.71,477.02,473.71,,0.00%,,
05-09-2018,465.71,474.58,474.71,465.48,,-1.99%,,
06-09-2018,462.54,465.7,466.02,461.16,,-0.68%,,
07-09-2018,462.97,462.46,463.99,459.36,,0.09%,,
10-09-2018,457.0,462.23,462.63,456.56,,-1.29%,,
11-09-2018,454.16,456.33,457.19,452.8,,-0.62%,,
12-09-2018,453.93,454.33,455.05,451.7,,-0.05%,,
13-09-2018,460.37,454.84,461.27,454.68,,1.42%,,
14-09-2018,466.52,460.83,466.88,460.83,,1.34%,,
17-09-2018,459.86,466.0,466.01,459.56,,-1.43%,,
18-09-2018,460.53,459.29,461.76,457.33,,0.15%,,
19-09-2018,466.07,461.11,466.41,460.57,,1.20%,,
20-09-2018,468.3,466.35,469.2,466.35,,0.48%,,
21-09-2018,475.04,469.23,476.0,468.94,,1.44%,,
24-09-2018,469.47,474.92,474.96,468.75,,-1.17%,,
25-09-2018,470.1,469.12,470.1,468.33,,0.13%,,
26-09-2018,471.95,469.91,472.98,469.79,,0.39%,,
27-09-2018,472.56,471.95,474.14,471.62,,0.13%,,
28-09-2018,471.95,472.48,474.15,471.5,,-0.13%,,
01-10-2018,471.52,472.08,472.38,471.18,,-0.09%,,
02-10-2018,462.95,471.2,471.36,462.5,,-1.82%,,
03-10-2018,462.26,462.9,464.42,461.33,,-0.15%,,
04-10-2018,452.01,461.43,461.69,451.23,,-2.22%,,
05-10-2018,447.23,451.62,452.19,446.46,,-1.06%,,
