Reporting Date,Debt/Equity,Gross Purchases(Rs Crore),Gross Sales(Rs Crore),Net Investment (Rs Crore),Net Investment US($) million,Conversion (1 USD TO INR),nan
14-Jul-05,Equity,1218.4,965.3,253.0,58.1,Rs. 43.52,
15-Jul-05,Equity,1221.0,1044.4,176.6,40.6,Rs. 43.53,
18-Jul-05,Equity,865.6,661.0,204.6,47.0,Rs. 43.52,
19-Jul-05,Equity,1591.3,1221.9,369.4,84.8,Rs. 43.54,
20-Jul-05,Equity,1212.2,824.2,388.1,89.1,Rs. 43.56,
21-Jul-05,Equity,962.9,645.2,317.7,73.0,Rs. 43.54,
22-Jul-05,Equity,869.2,570.1,299.1,68.8,Rs. 43.51,
25-Jul-05,Equity,1915.4,874.8,1040.6,239.8,Rs. 43.39,
26-Jul-05,Equity,1569.4,947.8,621.5,142.9,Rs. 43.50,
27-Jul-05,Equity,1516.6,1025.7,490.9,112.8,Rs. 43.50,
29-Jul-05,Equity,1241.1,1046.9,194.2,44.6,Rs. 43.52,
01-Aug-05,Equity,2695.1,1685.0,1010.2,232.3,Rs. 43.49,
02-Aug-05,Equity,1338.2,695.5,642.7,147.9,Rs. 43.45,
03-Aug-05,Equity,1868.8,1305.0,563.8,129.7,Rs. 43.46,
04-Aug-05,Equity,1940.2,1660.4,279.8,64.3,Rs. 43.51,
05-Aug-05,Equity,1519.4,1278.4,241.0,55.4,Rs. 43.51,
08-Aug-05,Equity,1998.0,1190.8,807.2,185.6,Rs. 43.50,
09-Aug-05,Equity,1176.5,756.6,419.9,96.4,Rs. 43.55,
10-Aug-05,Equity,1072.2,953.4,118.7,27.3,Rs. 43.55,
11-Aug-05,Equity,837.6,938.8,-101.3,-23.3,Rs. 43.53,
12-Aug-05,Equity,1437.6,1437.8,-0.2,0.0,Rs. 43.58,
16-Aug-05,Equity,1561.2,1286.3,274.9,63.0,Rs. 43.60,
17-Aug-05,Equity,1204.4,1186.9,17.6,4.0,Rs. 43.54,
18-Aug-05,Equity,1037.8,881.5,156.3,35.9,Rs. 43.54,
19-Aug-05,Equity,920.7,873.5,47.1,10.8,Rs. 43.56,
22-Aug-05,Equity,959.2,1036.3,-77.1,-17.7,Rs. 43.58,
23-Aug-05,Equity,751.5,742.1,9.4,2.1,Rs. 43.59,
24-Aug-05,Equity,841.1,780.5,60.6,13.9,Rs. 43.67,
25-Aug-05,Equity,875.4,985.9,-110.5,-25.3,Rs. 43.72,
26-Aug-05,Equity,1195.4,888.6,306.8,70.1,Rs. 43.76,
29-Aug-05,Equity,977.8,860.8,117.0,26.8,Rs. 43.73,
30-Aug-05,Equity,619.7,610.5,9.2,2.1,Rs. 43.78,
31-Aug-05,Equity,1009.3,751.2,258.1,58.6,Rs. 44.02,
01-Sep-05,Equity,1313.1,941.7,371.4,84.3,Rs. 44.04,
02-Sep-05,Equity,1157.8,844.7,313.1,71.0,Rs. 44.12,
05-Sep-05,Equity,1260.7,1026.8,234.0,53.2,Rs. 43.95,
06-Sep-05,Equity,877.1,629.2,247.9,56.7,Rs. 43.72,
08-Sep-05,Equity,819.9,749.2,70.7,16.1,Rs. 43.86,
09-Sep-05,Equity,1938.0,1394.8,543.3,123.9,Rs. 43.86,
12-Sep-05,Equity,1042.7,1092.7,-50.0,-11.4,Rs. 43.81,
13-Sep-05,Equity,892.5,725.0,167.6,38.2,Rs. 43.82,
14-Sep-05,Equity,1325.2,907.0,418.2,95.3,Rs. 43.88,
15-Sep-05,Equity,990.8,832.1,158.7,36.1,Rs. 43.92,
16-Sep-05,Equity,1288.4,881.3,407.2,92.7,Rs. 43.94,
19-Sep-05,Equity,1206.5,762.9,443.6,101.1,Rs. 43.87,
20-Sep-05,Equity,750.1,649.1,101.1,23.0,Rs. 43.90,
21-Sep-05,Equity,1308.5,986.6,321.9,73.3,Rs. 43.91,
22-Sep-05,Equity,1845.2,1537.6,307.6,70.0,Rs. 43.92,
23-Sep-05,Equity,1526.3,1011.9,514.4,117.2,Rs. 43.90,
26-Sep-05,Equity,1018.6,1344.2,-325.5,-74.1,Rs. 43.93,
27-Sep-05,Equity,873.2,673.9,199.3,45.3,Rs. 43.95,
28-Sep-05,Equity,1198.9,1172.6,26.3,6.0,Rs. 43.98,
29-Sep-05,Equity,1336.5,1294.0,42.5,9.6,Rs. 44.08,
30-Sep-05,Equity,2377.4,2243.9,133.4,30.3,Rs. 44.08,
03-Oct-05,Equity,1503.7,1540.5,-36.9,-8.4,Rs. 43.99,
04-Oct-05,Equity,1019.1,1137.5,-118.4,-26.9,Rs. 44.09,
05-Oct-05,Equity,1990.4,1568.8,421.6,95.5,Rs. 44.13,
06-Oct-05,Equity,1431.0,1377.0,54.1,12.2,Rs. 44.31,
07-Oct-05,Equity,1575.9,2144.4,-568.5,-128.4,Rs. 44.26,
10-Oct-05,Equity,1351.8,1643.7,-291.9,-65.9,Rs. 44.32,
11-Oct-05,Equity,1033.6,959.3,74.4,16.7,Rs. 44.62,
13-Oct-05,Equity,790.2,925.7,-135.5,-30.1,Rs. 44.94,
14-Oct-05,Equity,1346.9,1746.5,-399.6,-89.0,Rs. 44.89,
17-Oct-05,Equity,1832.8,1539.7,293.1,65.3,Rs. 44.89,
18-Oct-05,Equity,956.3,1255.3,-299.1,-66.7,Rs. 44.82,
19-Oct-05,Equity,1193.5,1417.3,-223.8,-49.6,Rs. 45.11,
20-Oct-05,Equity,1693.5,1890.2,-196.7,-43.4,Rs. 45.32,
21-Oct-05,Equity,1250.2,1321.3,-71.1,-15.7,Rs. 45.20,
24-Oct-05,Equity,1342.8,1747.2,-404.4,-89.7,Rs. 45.09,
25-Oct-05,Equity,864.3,996.4,-132.1,-29.3,Rs. 45.14,
26-Oct-05,Equity,850.6,1083.2,-232.7,-51.6,Rs. 45.12,
27-Oct-05,Equity,2141.4,2595.0,-453.6,-100.9,Rs. 44.94,
28-Oct-05,Equity,1456.5,2211.6,-755.1,-167.6,Rs. 45.06,
31-Oct-05,Equity,920.8,1138.5,-217.7,-48.3,Rs. 45.09,
01-Nov-05,Equity,775.9,924.4,-148.6,-32.9,Rs. 45.11,
02-Nov-05,Equity,123.9,73.3,50.6,11.2,Rs. 45.18,
03-Nov-05,Equity,1340.0,955.5,384.5,84.9,Rs. 45.27,
08-Nov-05,Equity,2812.7,2281.9,530.8,116.9,Rs. 45.41,
09-Nov-05,Equity,1823.7,1214.5,609.2,133.4,Rs. 45.67,
10-Nov-05,Equity,922.3,823.2,99.1,21.6,Rs. 45.99,
11-Nov-05,Equity,756.2,893.1,-136.9,-29.9,Rs. 45.80,
14-Nov-05,Equity,1225.8,1196.6,29.2,6.4,Rs. 45.81,
16-Nov-05,Equity,870.5,836.5,34.0,7.4,Rs. 45.77,
17-Nov-05,Equity,1016.5,871.3,145.3,31.8,Rs. 45.67,
18-Nov-05,Equity,995.2,904.4,90.8,19.8,Rs. 45.82,
21-Nov-05,Equity,1171.1,884.8,286.3,62.6,Rs. 45.77,
22-Nov-05,Equity,1517.9,1094.2,423.6,92.6,Rs. 45.74,
23-Nov-05,Equity,941.6,774.0,167.6,36.6,Rs. 45.78,
24-Nov-05,Equity,1169.1,857.3,311.9,68.0,Rs. 45.85,
25-Nov-05,Equity,1347.2,885.8,461.4,100.9,Rs. 45.74,
26-Nov-05,Equity,990.8,742.9,247.9,54.2,Rs. 45.72,
28-Nov-05,Equity,56.5,17.1,39.4,8.6,Rs. 45.78,
29-Nov-05,Equity,1566.8,1408.2,158.7,34.5,Rs. 45.94,
30-Nov-05,Equity,1661.8,1407.9,253.9,55.3,Rs. 45.92,
01-Dec-05,Equity,1429.4,1167.9,261.5,56.9,Rs. 45.94,
02-Dec-05,Equity,1671.8,1246.8,425.1,92.4,Rs. 45.99,
05-Dec-05,Equity,1630.2,1115.5,514.7,111.6,Rs. 46.12,
06-Dec-05,Equity,802.4,849.2,-46.8,-10.1,Rs. 46.28,
07-Dec-05,Equity,840.1,767.3,72.8,15.8,Rs. 46.18,
08-Dec-05,Equity,1128.4,1196.9,-68.5,-14.8,Rs. 46.17,
09-Dec-05,Equity,983.3,1024.3,-41.0,-8.8,Rs. 46.33,
12-Dec-05,Equity,1700.9,1280.8,420.1,90.9,Rs. 46.22,
13-Dec-05,Equity,969.9,688.8,281.1,60.9,Rs. 46.20,
14-Dec-05,Equity,2539.7,1375.8,1163.9,252.7,Rs. 46.06,
15-Dec-05,Equity,2013.7,1581.1,432.6,94.4,Rs. 45.84,
16-Dec-05,Equity,1757.1,1215.0,542.1,119.1,Rs. 45.50,
19-Dec-05,Equity,4011.6,1326.1,2685.5,591.8,Rs. 45.38,
20-Dec-05,Equity,2175.0,1049.9,1125.1,248.7,Rs. 45.24,
21-Dec-05,Equity,1654.3,1332.3,322.0,71.5,Rs. 45.03,
22-Dec-05,Equity,1484.3,1099.6,384.7,84.8,Rs. 45.34,
23-Dec-05,Equity,1442.9,1182.3,260.6,57.5,Rs. 45.32,
26-Dec-05,Equity,916.9,675.3,241.6,53.5,Rs. 45.16,
27-Dec-05,Equity,442.7,386.7,56.0,12.4,Rs. 45.12,
28-Dec-05,Equity,687.6,666.0,21.6,4.8,Rs. 45.20,
29-Dec-05,Equity,1206.2,1061.3,144.9,32.0,Rs. 45.26,
30-Dec-05,Equity,1515.8,1380.5,135.3,30.0,Rs. 45.16,
02-Jan-06,Equity,1504.2,977.2,526.9,116.9,Rs. 45.07,
03-Jan-06,Equity,962.7,485.0,477.7,106.0,Rs. 45.05,
04-Jan-06,Equity,1198.0,731.5,466.6,103.8,Rs. 44.95,
05-Jan-06,Equity,2288.6,1376.6,912.0,203.3,Rs. 44.85,
06-Jan-06,Equity,1432.5,1345.6,86.9,19.4,Rs. 44.67,
09-Jan-06,Equity,2241.5,1897.0,344.5,77.1,Rs. 44.66,
10-Jan-06,Equity,1798.2,1401.1,397.0,89.7,Rs. 44.28,
12-Jan-06,Equity,1294.1,1296.3,-2.2,-0.5,Rs. 44.38,
13-Jan-06,Equity,2773.8,3802.7,-1028.9,-233.1,Rs. 44.15,
16-Jan-06,Equity,1508.0,1500.4,7.6,1.7,Rs. 44.26,
17-Jan-06,Equity,1593.2,1625.5,-32.4,-7.3,Rs. 44.17,
18-Jan-06,Equity,2218.9,1898.6,320.3,72.3,Rs. 44.31,
19-Jan-06,Equity,1691.8,1689.5,2.3,0.5,Rs. 44.51,
20-Jan-06,Equity,1088.6,1007.2,81.4,18.4,Rs. 44.36,
23-Jan-06,Equity,2290.1,2235.1,55.0,12.4,Rs. 44.36,
24-Jan-06,Equity,1060.4,1378.6,-318.2,-72.1,Rs. 44.15,
25-Jan-06,Equity,1632.2,1590.1,42.1,9.5,Rs. 44.21,
27-Jan-06,Equity,2631.2,1811.1,820.0,185.2,Rs. 44.29,
30-Jan-06,Equity,2775.1,2056.0,719.1,162.9,Rs. 44.15,
31-Jan-06,Equity,1216.5,1416.6,-200.1,-45.3,Rs. 44.14,
01-Feb-06,Equity,1510.5,1293.2,217.4,49.3,Rs. 44.07,
02-Feb-06,Equity,2114.5,1606.3,508.1,115.1,Rs. 44.15,
03-Feb-06,Equity,1509.1,1145.1,364.1,82.2,Rs. 44.31,
06-Feb-06,Equity,1902.3,1275.8,626.5,141.7,Rs. 44.23,
07-Feb-06,Equity,2260.4,1463.9,796.5,180.2,Rs. 44.20,
08-Feb-06,Equity,2483.4,1547.8,935.6,211.3,Rs. 44.27,
10-Feb-06,Equity,1916.9,2035.3,-118.3,-26.8,Rs. 44.20,
13-Feb-06,Equity,2510.6,1896.2,614.4,139.0,Rs. 44.21,
14-Feb-06,Equity,1979.7,1644.2,335.5,75.8,Rs. 44.26,
15-Feb-06,Equity,1634.2,2135.8,-501.6,-113.4,Rs. 44.22,
16-Feb-06,Equity,1868.8,1926.6,-57.7,-13.0,Rs. 44.27,
17-Feb-06,Equity,1744.8,1497.7,247.1,55.8,Rs. 44.30,
20-Feb-06,Equity,2218.9,1874.5,344.4,77.5,Rs. 44.46,
21-Feb-06,Equity,1307.7,721.5,586.1,131.9,Rs. 44.33,
22-Feb-06,Equity,1143.4,1018.1,125.3,28.2,Rs. 44.40,
23-Feb-06,Equity,1529.6,1112.2,417.4,93.8,Rs. 44.51,
24-Feb-06,Equity,2426.2,1664.8,761.4,170.9,Rs. 44.56,
27-Feb-06,Equity,1762.8,761.1,1001.8,225.4,Rs. 44.45,
28-Feb-06,Equity,1574.9,1191.2,383.8,86.4,Rs. 44.42,
01-Mar-06,Equity,1714.8,1513.0,201.8,45.4,Rs. 44.44,
02-Mar-06,Equity,2490.1,1914.1,576.0,129.9,Rs. 44.35,
03-Mar-06,Equity,2272.8,1627.1,645.7,145.6,Rs. 44.34,
06-Mar-06,Equity,1699.8,1310.1,389.8,87.9,Rs. 44.36,
07-Mar-06,Equity,2248.0,2000.9,247.1,55.8,Rs. 44.32,
08-Mar-06,Equity,2350.6,2128.1,222.5,50.2,Rs. 44.33,
09-Mar-06,Equity,4114.3,3282.0,832.3,187.4,Rs. 44.42,
10-Mar-06,Equity,3071.9,3358.9,-287.0,-64.4,Rs. 44.55,
13-Mar-06,Equity,2580.4,1955.7,624.8,140.4,Rs. 44.50,
14-Mar-06,Equity,2004.4,1774.9,229.5,51.5,Rs. 44.53,
16-Mar-06,Equity,2341.2,2176.6,164.6,37.0,Rs. 44.47,
17-Mar-06,Equity,2715.3,2691.0,24.2,5.5,Rs. 44.41,
20-Mar-06,Equity,3107.8,2632.9,474.9,106.9,Rs. 44.42,
21-Mar-06,Equity,1593.2,1445.1,148.2,33.3,Rs. 44.44,
22-Mar-06,Equity,2053.1,1871.3,181.7,41.0,Rs. 44.38,
23-Mar-06,Equity,2494.9,2194.3,300.6,67.6,Rs. 44.47,
24-Mar-06,Equity,2049.4,1993.1,56.3,12.6,Rs. 44.55,
27-Mar-06,Equity,1866.8,1729.3,137.5,30.8,Rs. 44.66,
28-Mar-06,Equity,2710.7,2160.5,550.2,123.2,Rs. 44.66,
29-Mar-06,Equity,2188.5,1816.7,371.7,83.2,Rs. 44.66,
30-Mar-06,Equity,1831.4,1737.5,93.9,21.0,Rs. 44.66,
31-Mar-06,Equity,3441.5,2939.1,502.5,112.4,Rs. 44.69,
03-Apr-06,Equity,2352.4,2307.2,45.2,10.1,Rs. 44.61,
04-Apr-06,Equity,2039.6,1561.7,477.9,107.1,Rs. 44.61,
05-Apr-06,Equity,2267.8,2135.4,132.4,29.7,Rs. 44.61,
07-Apr-06,Equity,2119.9,1806.0,314.0,70.3,Rs. 44.69,
10-Apr-06,Equity,3538.4,3965.5,-427.1,-95.7,Rs. 44.63,
12-Apr-06,Equity,1884.0,2305.7,-421.7,-94.3,Rs. 44.74,
13-Apr-06,Equity,2636.7,3371.5,-734.8,-163.5,Rs. 44.93,
17-Apr-06,Equity,2239.1,3199.6,-960.5,-212.0,Rs. 45.30,
18-Apr-06,Equity,1947.6,1694.7,252.9,56.0,Rs. 45.15,
19-Apr-06,Equity,2183.9,2457.8,-273.9,-60.7,Rs. 45.15,
20-Apr-06,Equity,2514.6,2715.7,-201.1,-44.5,Rs. 45.14,
21-Apr-06,Equity,2447.2,2222.3,224.9,49.8,Rs. 45.15,
24-Apr-06,Equity,3093.3,2941.8,151.5,33.6,Rs. 45.09,
25-Apr-06,Equity,2561.9,2367.1,194.8,43.2,Rs. 45.06,
26-Apr-06,Equity,1577.5,2086.3,-508.8,-113.5,Rs. 44.83,
27-Apr-06,Equity,1784.7,1990.9,-206.2,-45.8,Rs. 45.03,
28-Apr-06,Equity,5457.6,2943.8,2513.8,557.9,Rs. 45.06,
29-Apr-06,Equity,1998.3,2049.7,-51.4,-11.4,Rs. 45.06,
02-May-06,Equity,121.5,60.6,60.9,13.5,Rs. 44.97,
03-May-06,Equity,3128.9,2910.4,218.5,48.7,Rs. 44.90,
04-May-06,Equity,2926.6,2019.4,907.2,202.2,Rs. 44.86,
05-May-06,Equity,2630.0,2307.3,322.6,71.8,Rs. 44.97,
08-May-06,Equity,2845.4,1737.3,1108.1,246.9,Rs. 44.88,
09-May-06,Equity,2611.2,2244.8,366.5,81.7,Rs. 44.88,
10-May-06,Equity,2599.8,2139.4,460.5,102.4,Rs. 44.96,
11-May-06,Equity,2516.4,2193.5,322.9,71.9,Rs. 44.93,
12-May-06,Equity,2174.3,3373.4,-1199.1,-266.1,Rs. 45.07,
15-May-06,Equity,1825.4,1806.7,18.6,4.1,Rs. 45.05,
16-May-06,Equity,1944.1,2672.5,-728.4,-160.5,Rs. 45.39,
17-May-06,Equity,2488.9,3022.2,-533.4,-116.9,Rs. 45.61,
18-May-06,Equity,1593.1,2016.6,-423.5,-93.4,Rs. 45.34,
19-May-06,Equity,2104.0,2914.6,-810.6,-178.2,Rs. 45.48,
22-May-06,Equity,2699.1,4060.4,-1361.3,-299.5,Rs. 45.46,
23-May-06,Equity,3019.2,3949.0,-929.8,-203.5,Rs. 45.68,
24-May-06,Equity,2306.1,3549.3,-1243.2,-273.1,Rs. 45.52,
25-May-06,Equity,1881.8,3816.9,-1935.0,-423.1,Rs. 45.73,
26-May-06,Equity,2181.6,3814.4,-1632.8,-356.1,Rs. 45.85,
29-May-06,Equity,1631.3,1884.0,-252.7,-55.1,Rs. 45.85,
30-May-06,Equity,981.1,1062.9,-81.8,-17.8,Rs. 45.97,
31-May-06,Equity,1518.9,1527.2,-8.4,-1.8,Rs. 46.19,
01-Jun-06,Equity,1730.9,2563.2,-832.3,-179.3,Rs. 46.43,
02-Jun-06,Equity,2317.8,2600.0,-282.2,-61.1,Rs. 46.22,
05-Jun-06,Equity,2179.1,1538.6,640.4,138.7,Rs. 46.17,
06-Jun-06,Equity,2088.4,1517.4,571.0,124.6,Rs. 45.82,
07-Jun-06,Equity,1800.2,1715.4,84.8,18.5,Rs. 45.92,
08-Jun-06,Equity,2052.5,2020.6,31.9,6.9,Rs. 45.93,
09-Jun-06,Equity,2512.2,2400.9,111.2,24.1,Rs. 46.06,
12-Jun-06,Equity,2106.3,1597.5,508.9,110.8,Rs. 45.92,
13-Jun-06,Equity,1525.5,1427.6,97.9,21.3,Rs. 45.88,
14-Jun-06,Equity,1735.1,1817.0,-81.8,-17.8,Rs. 46.04,
15-Jun-06,Equity,1557.7,1921.1,-363.4,-79.0,Rs. 45.98,
16-Jun-06,Equity,1564.0,1424.1,139.9,30.5,Rs. 45.91,
19-Jun-06,Equity,2920.3,2260.7,659.5,143.6,Rs. 45.92,
20-Jun-06,Equity,1099.0,1077.0,21.9,4.8,Rs. 45.89,
21-Jun-06,Equity,1281.6,1481.2,-199.6,-43.5,Rs. 45.91,
22-Jun-06,Equity,1152.2,1060.7,91.6,19.9,Rs. 45.92,
23-Jun-06,Equity,1359.6,1562.2,-202.6,-44.0,Rs. 46.07,
24-Jun-06,Equity,1050.3,1117.8,-67.5,-14.7,Rs. 46.01,
26-Jun-06,Equity,21.7,14.7,7.0,1.5,Rs. 46.20,
27-Jun-06,Equity,2161.3,2188.1,-26.8,-5.8,Rs. 46.34,
28-Jun-06,Equity,1735.5,1846.6,-111.1,-24.0,Rs. 46.36,
29-Jun-06,Equity,2084.5,2123.5,-39.0,-8.4,Rs. 46.40,
30-Jun-06,Equity,1747.3,2027.5,-280.2,-60.5,Rs. 46.34,
03-Jul-06,Equity,1793.4,1687.1,106.3,23.1,Rs. 46.08,
04-Jul-06,Equity,1403.4,1148.5,254.8,55.4,Rs. 45.98,
05-Jul-06,Equity,1122.7,908.0,214.7,46.7,Rs. 46.01,
06-Jul-06,Equity,2117.1,1561.2,556.0,120.8,Rs. 46.03,
07-Jul-06,Equity,1133.4,1124.3,9.1,2.0,Rs. 46.15,
10-Jul-06,Equity,933.1,1369.0,-435.9,-94.5,Rs. 46.12,
11-Jul-06,Equity,644.9,692.3,-47.4,-10.3,Rs. 46.06,
12-Jul-06,Equity,809.6,943.1,-133.5,-28.9,Rs. 46.21,
13-Jul-06,Equity,1814.0,1438.7,375.3,81.2,Rs. 46.21,
14-Jul-06,Equity,1029.4,1015.3,14.1,3.0,Rs. 46.29,
17-Jul-06,Equity,911.7,1255.3,-343.6,-74.0,Rs. 46.43,
18-Jul-06,Equity,764.8,1332.3,-567.5,-122.2,Rs. 46.44,
19-Jul-06,Equity,917.4,1224.5,-307.1,-65.7,Rs. 46.73,
20-Jul-06,Equity,1324.0,1234.1,89.8,19.1,Rs. 46.95,
21-Jul-06,Equity,1433.9,1112.6,321.3,68.6,Rs. 46.84,
24-Jul-06,Equity,1106.3,1159.8,-53.5,-11.4,Rs. 46.83,
25-Jul-06,Equity,1387.0,1355.5,31.5,6.7,Rs. 46.93,
26-Jul-06,Equity,1461.0,1231.2,229.8,49.1,Rs. 46.81,
27-Jul-06,Equity,1418.8,1180.8,238.0,50.8,Rs. 46.85,
28-Jul-06,Equity,1922.0,1460.3,461.7,99.0,Rs. 46.64,
31-Jul-06,Equity,1107.3,976.2,131.2,28.2,Rs. 46.56,
01-Aug-06,Equity,1327.6,971.8,355.8,76.5,Rs. 46.51,
02-Aug-06,Equity,863.4,909.6,-46.3,-9.9,Rs. 46.65,
03-Aug-06,Equity,1118.9,1014.8,104.1,22.4,Rs. 46.56,
04-Aug-06,Equity,1466.6,1226.5,240.1,51.4,Rs. 46.72,
07-Aug-06,Equity,987.5,1034.5,-47.0,-10.1,Rs. 46.54,
08-Aug-06,Equity,1009.7,893.8,115.9,24.9,Rs. 46.49,
09-Aug-06,Equity,1153.4,854.9,298.6,64.1,Rs. 46.59,
10-Aug-06,Equity,1292.2,1041.8,250.4,53.8,Rs. 46.53,
11-Aug-06,Equity,1284.3,1132.4,151.9,32.7,Rs. 46.43,
14-Aug-06,Equity,1123.9,1060.4,63.5,13.7,Rs. 46.52,
16-Aug-06,Equity,910.2,899.6,10.6,2.3,Rs. 46.56,
17-Aug-06,Equity,2261.5,1309.5,952.0,204.5,Rs. 46.55,
18-Aug-06,Equity,1994.6,1185.8,808.8,174.1,Rs. 46.46,
21-Aug-06,Equity,1444.6,925.5,519.1,111.7,Rs. 46.48,
22-Aug-06,Equity,997.1,954.4,42.7,9.2,Rs. 46.45,
23-Aug-06,Equity,1103.7,1113.4,-9.7,-2.1,Rs. 46.52,
24-Aug-06,Equity,1007.0,1059.1,-52.1,-11.2,Rs. 46.56,
25-Aug-06,Equity,1387.0,1319.4,67.6,14.5,Rs. 46.50,
28-Aug-06,Equity,986.4,918.6,67.8,14.5,Rs. 46.61,
29-Aug-06,Equity,806.5,763.1,43.4,9.3,Rs. 46.56,
30-Aug-06,Equity,1485.6,1116.7,368.9,79.3,Rs. 46.52,
31-Aug-06,Equity,1226.0,889.1,336.9,72.4,Rs. 46.51,
01-Sep-06,Equity,2194.5,1707.4,487.1,104.6,Rs. 46.55,
04-Sep-06,Equity,1379.0,1142.5,236.6,50.8,Rs. 46.53,
05-Sep-06,Equity,1186.8,735.7,451.1,97.1,Rs. 46.44,
06-Sep-06,Equity,846.9,916.4,-69.5,-15.1,Rs. 46.22,
07-Sep-06,Equity,1391.1,939.9,451.2,97.6,Rs. 46.21,
08-Sep-06,Equity,1396.5,1412.8,-16.3,-3.5,Rs. 46.10,
11-Sep-06,Equity,1249.1,1298.0,-48.9,-10.6,Rs. 46.20,
12-Sep-06,Equity,1495.9,1401.2,94.7,20.5,Rs. 46.27,
13-Sep-06,Equity,1216.2,1336.8,-120.6,-26.0,Rs. 46.34,
14-Sep-06,Equity,1962.5,1443.1,519.4,112.4,Rs. 46.22,
15-Sep-06,Equity,1604.9,1113.3,491.5,106.5,Rs. 46.15,
18-Sep-06,Equity,1597.3,1138.3,459.0,99.5,Rs. 46.13,
19-Sep-06,Equity,1372.2,877.1,495.1,107.3,Rs. 46.12,
20-Sep-06,Equity,1540.7,1264.0,276.6,60.0,Rs. 46.11,
21-Sep-06,Equity,1377.1,1141.1,236.0,51.3,Rs. 46.05,
22-Sep-06,Equity,1878.7,1589.8,288.8,63.0,Rs. 45.88,
25-Sep-06,Equity,1401.5,1249.4,152.1,33.1,Rs. 45.94,
26-Sep-06,Equity,1156.1,1424.6,-268.5,-58.5,Rs. 45.86,
27-Sep-06,Equity,1464.4,1429.4,34.9,7.6,Rs. 45.97,
28-Sep-06,Equity,2090.8,1535.8,555.0,120.9,Rs. 45.92,
29-Sep-06,Equity,2409.9,1690.4,719.5,156.7,Rs. 45.92,
03-Oct-06,Equity,2996.4,1702.9,1293.5,281.4,Rs. 45.96,
04-Oct-06,Equity,1443.3,1737.6,-294.3,-64.2,Rs. 45.84,
05-Oct-06,Equity,1648.2,2067.6,-419.4,-91.8,Rs. 45.69,
06-Oct-06,Equity,1863.2,1739.5,123.7,27.1,Rs. 45.71,
09-Oct-06,Equity,1420.9,1349.9,71.0,15.6,Rs. 45.61,
10-Oct-06,Equity,929.3,975.0,-45.7,-10.0,Rs. 45.72,
11-Oct-06,Equity,1509.0,1412.6,96.4,21.1,Rs. 45.74,
12-Oct-06,Equity,2234.4,1431.0,803.4,175.6,Rs. 45.76,
13-Oct-06,Equity,2116.3,1577.0,539.3,118.3,Rs. 45.60,
16-Oct-06,Equity,2579.9,1486.2,1093.8,240.4,Rs. 45.49,
17-Oct-06,Equity,2276.7,1482.0,794.7,174.8,Rs. 45.46,
18-Oct-06,Equity,1878.0,1489.0,389.0,85.8,Rs. 45.36,
19-Oct-06,Equity,2846.7,1838.8,1007.9,222.7,Rs. 45.26,
20-Oct-06,Equity,1842.5,1879.6,-37.1,-8.2,Rs. 45.32,
21-Oct-06,Equity,1965.3,1521.2,444.1,98.0,Rs. 45.32,
23-Oct-06,Equity,37.8,60.9,-23.2,-5.1,Rs. 45.31,
26-Oct-06,Equity,1241.5,1072.8,168.8,37.2,Rs. 45.40,
27-Oct-06,Equity,2846.8,2353.6,493.3,108.9,Rs. 45.30,
30-Oct-06,Equity,2661.5,2164.7,496.7,109.8,Rs. 45.22,
31-Oct-06,Equity,2170.4,1153.1,1017.2,225.6,Rs. 45.09,
01-Nov-06,Equity,2343.6,2019.9,323.8,71.9,Rs. 45.02,
02-Nov-06,Equity,1898.6,1530.2,368.4,82.0,Rs. 44.93,
03-Nov-06,Equity,1444.3,1305.2,139.1,31.0,Rs. 44.93,
06-Nov-06,Equity,1683.1,1455.7,227.4,50.7,Rs. 44.84,
07-Nov-06,Equity,1907.4,1484.5,422.9,94.3,Rs. 44.86,
08-Nov-06,Equity,2099.7,1764.2,335.5,74.8,Rs. 44.83,
09-Nov-06,Equity,1960.8,1967.0,-6.2,-1.4,Rs. 44.68,
10-Nov-06,Equity,2276.8,1749.9,526.9,118.0,Rs. 44.65,
13-Nov-06,Equity,2661.6,2183.5,478.1,107.5,Rs. 44.45,
14-Nov-06,Equity,1927.7,1149.5,778.2,173.3,Rs. 44.90,
15-Nov-06,Equity,3096.9,1573.1,1523.8,337.4,Rs. 45.16,
16-Nov-06,Equity,1888.9,1789.3,99.6,22.0,Rs. 45.34,
20-Nov-06,Equity,4976.9,3674.3,1302.7,289.4,Rs. 45.01,
21-Nov-06,Equity,3421.5,3363.5,58.0,12.9,Rs. 44.86,
22-Nov-06,Equity,2825.1,2182.8,642.3,142.8,Rs. 44.99,
23-Nov-06,Equity,2103.1,2124.1,-21.1,-4.7,Rs. 44.75,
24-Nov-06,Equity,4182.8,3004.0,1178.7,263.7,Rs. 44.70,
27-Nov-06,Equity,3560.3,2565.8,994.6,221.7,Rs. 44.87,
28-Nov-06,Equity,3082.9,2677.3,405.6,90.8,Rs. 44.64,
29-Nov-06,Equity,1894.8,2230.1,-335.3,-75.0,Rs. 44.74,
30-Nov-06,Equity,1907.6,1970.6,-63.0,-14.1,Rs. 44.65,
01-Dec-06,Equity,4072.9,3814.8,258.1,57.6,Rs. 44.76,
04-Dec-06,Equity,1872.3,1523.0,349.3,78.2,Rs. 44.67,
