Reporting Date,Debt/Equity,Gross Purchases(Rs Crore),Gross Sales(Rs Crore),Net Investment (Rs Crore),Net Investment US($) million,Conversion (1 USD TO INR),nan
10-Apr-07,Equity,1574.5,1005.1,569.4,132.8,Rs. 42.88,
11-Apr-07,Equity,2266.9,1864.3,402.6,93.9,Rs. 42.86,
12-Apr-07,Equity,2074.6,1972.7,101.9,23.8,Rs. 42.87,
13-Apr-07,Equity,1714.5,1659.3,55.2,12.9,Rs. 42.86,
16-Apr-07,Equity,2863.6,2388.0,475.6,111.3,Rs. 42.74,
17-Apr-07,Equity,2674.8,1886.5,788.3,186.3,Rs. 42.30,
18-Apr-07,Equity,2597.3,1948.8,648.5,155.4,Rs. 41.73,
19-Apr-07,Equity,2329.4,1689.3,640.1,152.8,Rs. 41.89,
20-Apr-07,Equity,1917.0,1990.4,-73.4,-17.4,Rs. 42.15,
23-Apr-07,Equity,2537.3,1788.6,748.7,178.3,Rs. 41.99,
24-Apr-07,Equity,1907.7,1976.2,-68.5,-16.4,Rs. 41.67,
25-Apr-07,Equity,3283.4,2781.9,501.5,120.4,Rs. 41.64,
26-Apr-07,Equity,3610.0,2648.5,961.5,234.7,Rs. 40.97,
27-Apr-07,Equity,3064.6,2704.8,359.8,88.2,Rs. 40.78,
30-Apr-07,Equity,1745.8,1940.6,-194.8,-47.4,Rs. 44.02,
03-May-07,Equity,1557.7,1862.3,-304.6,-73.8,Rs. 44.02,
04-May-07,Equity,2753.5,2697.3,56.2,13.6,Rs. 44.02,
07-May-07,Equity,2151.4,1939.3,212.0,51.8,Rs. 40.90,
08-May-07,Equity,1646.2,1549.5,96.7,23.9,Rs. 40.57,
09-May-07,Equity,1611.8,1834.0,-222.1,-54.5,Rs. 40.78,
10-May-07,Equity,1974.1,1950.8,23.3,5.7,Rs. 40.91,
11-May-07,Equity,2047.1,1855.6,191.5,46.7,Rs. 41.00,
14-May-07,Equity,1858.6,2194.8,-336.2,-81.3,Rs. 41.34,
15-May-07,Equity,1908.9,1848.4,60.5,14.8,Rs. 40.93,
16-May-07,Equity,2023.7,2354.5,-330.8,-80.9,Rs. 40.87,
17-May-07,Equity,2497.3,2636.6,-139.2,-34.1,Rs. 40.84,
18-May-07,Equity,3966.0,2905.3,1060.8,259.7,Rs. 40.84,
21-May-07,Equity,3428.1,2167.8,1260.3,308.1,Rs. 40.90,
22-May-07,Equity,2764.4,2286.7,477.6,117.6,Rs. 40.60,
23-May-07,Equity,3189.5,2738.7,450.8,110.9,Rs. 40.64,
24-May-07,Equity,2840.1,2394.1,446.0,110.0,Rs. 40.55,
25-May-07,Equity,2269.1,1949.6,319.5,78.8,Rs. 40.57,
28-May-07,Equity,2585.8,2732.9,-147.1,-36.2,Rs. 40.60,
29-May-07,Equity,1895.3,1571.0,324.2,80.0,Rs. 40.53,
30-May-07,Equity,2282.0,1444.6,837.4,207.0,Rs. 40.45,
31-May-07,Equity,2500.9,2877.9,-377.1,-92.8,Rs. 40.64,
01-Jun-07,Equity,3381.1,3070.7,310.4,76.2,Rs. 40.73,
04-Jun-07,Equity,2531.2,2048.8,482.4,119.0,Rs. 42.15,
05-Jun-07,Equity,1905.3,1683.2,222.1,54.9,Rs. 40.47,
06-Jun-07,Equity,2118.7,2156.5,-37.8,-9.3,Rs. 40.56,
07-Jun-07,Equity,2327.7,2397.3,-69.6,-17.2,Rs. 40.55,
08-Jun-07,Equity,1646.1,1869.0,-222.8,-54.8,Rs. 40.63,
11-Jun-07,Equity,2694.8,3631.0,-936.2,-228.4,Rs. 40.98,
12-Jun-07,Equity,2136.6,2191.1,-54.6,-13.3,Rs. 40.91,
13-Jun-07,Equity,2173.2,1628.0,545.3,133.9,Rs. 40.73,
14-Jun-07,Equity,1732.9,2040.7,-307.8,-75.2,Rs. 40.93,
15-Jun-07,Equity,2716.7,2505.0,211.8,51.9,Rs. 40.84,
18-Jun-07,Equity,1982.7,1995.7,-13.0,-3.2,Rs. 40.97,
19-Jun-07,Equity,1587.5,1616.3,-28.9,-7.1,Rs. 40.76,
20-Jun-07,Equity,2463.1,1810.0,653.1,160.5,Rs. 40.70,
21-Jun-07,Equity,1535.0,1652.0,-117.0,-28.7,Rs. 40.82,
22-Jun-07,Equity,4546.4,2904.8,1641.6,402.9,Rs. 40.75,
25-Jun-07,Equity,2314.1,2235.9,78.2,19.2,Rs. 40.71,
26-Jun-07,Equity,2884.4,2386.7,497.8,122.0,Rs. 40.81,
27-Jun-07,Equity,1666.4,1966.0,-299.6,-73.2,Rs. 40.95,
28-Jun-07,Equity,2106.3,2576.8,-470.5,-114.7,Rs. 41.01,
29-Jun-07,Equity,2799.3,3241.1,-441.8,-108.2,Rs. 40.84,
02-Jul-07,Equity,7952.0,2114.9,5837.1,1432.4,Rs. 40.75,
03-Jul-07,Equity,1835.9,1635.2,200.7,49.4,Rs. 40.66,
04-Jul-07,Equity,2454.5,2044.5,410.0,101.0,Rs. 40.58,
05-Jul-07,Equity,2240.8,1416.0,824.8,203.7,Rs. 40.49,
06-Jul-07,Equity,4316.5,3041.5,1275.0,315.1,Rs. 40.46,
09-Jul-07,Equity,5508.5,2329.2,3179.3,785.8,Rs. 40.46,
10-Jul-07,Equity,2866.1,1976.7,889.3,220.1,Rs. 40.41,
11-Jul-07,Equity,3177.5,2475.4,702.1,173.8,Rs. 40.41,
12-Jul-07,Equity,3055.2,2691.7,363.5,90.0,Rs. 40.38,
13-Jul-07,Equity,3787.9,3088.3,699.6,173.3,Rs. 40.38,
16-Jul-07,Equity,5475.7,3129.3,2346.4,579.8,Rs. 40.47,
17-Jul-07,Equity,4344.1,2684.1,1660.1,411.2,Rs. 40.37,
18-Jul-07,Equity,3889.9,2943.6,946.4,234.5,Rs. 40.36,
19-Jul-07,Equity,4124.3,2890.7,1233.7,305.4,Rs. 40.40,
20-Jul-07,Equity,3762.0,2878.9,883.1,218.7,Rs. 40.39,
23-Jul-07,Equity,4108.4,2885.3,1223.1,303.3,Rs. 40.33,
24-Jul-07,Equity,3784.9,2688.9,1096.0,271.7,Rs. 40.34,
25-Jul-07,Equity,4376.5,3090.9,1285.6,319.5,Rs. 40.24,
26-Jul-07,Equity,3205.6,3264.8,-59.2,-14.7,Rs. 40.30,
27-Jul-07,Equity,4519.3,4271.1,248.2,61.6,Rs. 40.27,
30-Jul-07,Equity,3677.3,4899.6,-1222.4,-302.0,Rs. 40.48,
31-Jul-07,Equity,2816.9,2966.9,-150.0,-37.0,Rs. 40.54,
01-Aug-07,Equity,3620.8,3187.2,433.6,107.2,Rs. 40.44,
02-Aug-07,Equity,3853.6,4836.3,-982.7,-242.3,Rs. 40.55,
03-Aug-07,Equity,1957.0,2375.9,-419.0,-103.6,Rs. 40.43,
06-Aug-07,Equity,2501.8,2309.0,192.8,47.8,Rs. 40.36,
07-Aug-07,Equity,1851.7,3018.4,-1166.6,-288.4,Rs. 40.45,
08-Aug-07,Equity,2330.7,2454.2,-123.6,-30.6,Rs. 40.37,
09-Aug-07,Equity,3056.6,2866.4,190.2,46.9,Rs. 40.58,
10-Aug-07,Equity,2840.1,2457.5,382.6,94.7,Rs. 40.40,
13-Aug-07,Equity,3197.6,3605.7,-408.1,-100.3,Rs. 40.67,
14-Aug-07,Equity,1669.8,2190.0,-520.2,-128.3,Rs. 40.56,
16-Aug-07,Equity,1771.4,1898.9,-127.5,-31.3,Rs. 40.69,
17-Aug-07,Equity,2696.5,5546.4,-2849.9,-693.6,Rs. 41.09,
20-Aug-07,Equity,2612.5,5855.2,-3242.7,-789.2,Rs. 41.09,
21-Aug-07,Equity,2797.7,2704.9,92.8,22.3,Rs. 41.57,
22-Aug-07,Equity,2474.2,2484.0,-9.8,-2.4,Rs. 41.06,
23-Aug-07,Equity,1978.3,2646.4,-668.0,-162.9,Rs. 41.01,
24-Aug-07,Equity,3318.8,2988.4,330.4,80.8,Rs. 40.86,
27-Aug-07,Equity,2371.9,1957.4,414.5,100.7,Rs. 41.18,
28-Aug-07,Equity,2559.1,1357.3,1201.8,293.3,Rs. 40.98,
29-Aug-07,Equity,2561.5,2195.9,365.6,88.9,Rs. 41.12,
30-Aug-07,Equity,2677.2,2869.3,-192.1,-46.6,Rs. 41.24,
31-Aug-07,Equity,4125.6,4790.1,-664.5,-161.9,Rs. 41.04,
03-Sep-07,Equity,3019.5,2342.2,677.3,165.3,Rs. 40.96,
04-Sep-07,Equity,2514.7,1987.1,527.6,129.1,Rs. 40.88,
05-Sep-07,Equity,2089.2,1458.8,630.4,154.1,Rs. 40.91,
06-Sep-07,Equity,2703.0,2292.7,410.4,100.2,Rs. 40.94,
07-Sep-07,Equity,2464.2,1841.1,623.1,152.5,Rs. 40.85,
10-Sep-07,Equity,2435.1,1854.2,580.9,142.7,Rs. 40.71,
